Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
176,Pablo Durán,es ESP,"FW,MF",Celta Vigo,23,2001,15.5,3,0,0,31,19,7,18,7,8,,,0,la_liga,2024-2025
177,Hugo Duro,es ESP,FW,Valencia,24,1999,24.1,5,0,0,38,50,7,7,9,9,,,1,la_liga,2024-2025
178,Chidera Ejuke,ng NGA,"MF,FW",Sevilla,26,1998,10.7,0,0,0,6,16,4,22,6,12,,,0,la_liga,2024-2025
179,Aritz Elustondo,es ESP,DF,Real Sociedad,30,1994,16.2,2,1,0,25,18,1,4,12,11,,,0,la_liga,2024-2025
180,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,32,1992,17.9,4,0,0,25,21,14,114,14,21,,,0,la_liga,2024-2025
181,Endrick,br BRA,FW,Real Madrid,18,2006,4.0,1,0,0,10,9,2,2,4,2,,,0,la_liga,2024-2025
182,Alfonso Espino,uy URU,DF,Rayo Vallecano,32,1992,9.3,4,0,0,18,15,0,25,12,24,,,0,la_liga,2024-2025
183,Dario Essugo,pt POR,MF,Las Palmas,19,2005,21.5,11,2,2,37,30,0,1,42,44,,,0,la_liga,2024-2025
184,Etienne Eto'o,cm CMR,FW,Rayo Vallecano,21,2002,0.4,0,0,0,0,0,1,0,0,0,,,0,la_liga,2024-2025
185,Karl Etta Eyong,cm CMR,FW,Villarreal,20,2003,0.4,0,0,0,0,1,0,0,0,0,,,0,la_liga,2024-2025
186,Edu Expósito,es ESP,MF,Espanyol,27,1996,11.6,3,0,0,14,22,2,66,16,13,,,0,la_liga,2024-2025
187,Abde Ezzalzouli,ma MAR,MF,Real Betis,22,2001,22.0,2,0,0,23,38,4,49,9,23,,,0,la_liga,2024-2025
188,Ansu Fati,es ESP,MF,Barcelona,21,2002,2.6,1,0,0,2,2,2,0,1,1,,,0,la_liga,2024-2025
