Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
143,Mouctar Diakhaby,gn GUI,DF,Valencia,25,1996,27.2,7,1,1,23,13,4,2,19,16,,,0,la_liga,2022-2023
144,Mamady Diarra,ml MLI,MF,Cádiz,22,2000,0.7,0,0,0,1,1,0,0,0,1,,,0,la_liga,2022-2023
145,Youba Diarra,ml MLI,MF,Cádiz,24,1998,1.1,2,0,0,3,0,0,0,1,0,,,0,la_liga,2022-2023
146,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,28,1993,36.9,4,0,0,0,3,0,0,1,0,,,0,la_liga,2022-2023
147,Djené,tg TOG,DF,Getafe,30,1991,31.6,10,1,0,50,37,1,25,39,28,,,0,la_liga,2022-2023
148,Marko Dmitrović,rs SRB,GK,Sevilla,30,1992,14.1,1,0,0,0,1,0,0,0,0,,,0,la_liga,2022-2023
149,Matt Doherty,ie IRL,"DF,MF",Atlético Madrid,30,1992,0.2,0,0,0,1,0,0,0,0,0,,,0,la_liga,2022-2023
150,Kasper Dolberg,dk DEN,FW,Sevilla,24,1997,2.2,0,0,0,2,4,0,0,0,0,,,0,la_liga,2022-2023
151,Carlos Dominguez,es ESP,DF,Celta Vigo,21,2001,1.2,0,0,0,0,0,0,0,0,1,,,0,la_liga,2022-2023
152,John Donald,es ESP,"MF,DF",Elche,21,2000,12.1,3,1,0,23,8,0,0,14,11,,,0,la_liga,2022-2023
153,Domingos Duarte,pt POR,DF,Getafe,27,1995,29.5,11,1,1,32,21,2,0,40,19,,,1,la_liga,2022-2023
154,Pablo Durán,es ESP,FW,Celta Vigo,21,2001,0.4,0,0,0,1,0,1,1,1,0,,,0,la_liga,2022-2023
155,Hugo Duro,es ESP,FW,Valencia,22,1999,15.4,5,0,0,20,35,3,2,1,11,,,0,la_liga,2022-2023
156,Íñigo Eguaras,es ESP,MF,Almería,30,1992,10.7,6,0,0,7,8,0,3,7,8,,,0,la_liga,2022-2023
157,Aritz Elustondo,es ESP,DF,Real Sociedad,28,1994,16.1,5,1,0,21,9,1,8,20,17,,,0,la_liga,2022-2023
158,Rodrigo Ely,br BRA,DF,Almería,28,1993,35.1,10,1,1,25,14,2,4,30,21,,,1,la_liga,2022-2023
159,Adri Embarba,es ESP,"FW,MF",Almería,30,1992,16.4,5,1,1,23,30,9,127,8,26,,,0,la_liga,2022-2023
160,Adri Embarba,es ESP,"FW,MF",Espanyol,30,1992,0.4,0,0,0,1,1,0,1,0,0,,,0,la_liga,2022-2023
161,Youssef En-Nesyri,ma MAR,FW,Sevilla,25,1997,18.5,4,0,0,10,11,21,3,4,6,,,0,la_liga,2022-2023
162,Gonzalo Escalante,ar ARG,MF,Cádiz,29,1993,12.5,4,0,0,14,17,0,4,17,24,,,0,la_liga,2022-2023
163,Sergio Escudero,es ESP,"DF,MF",Valladolid,32,1989,16.0,3,0,0,19,19,1,56,26,19,,,0,la_liga,2022-2023
164,Alfonso Espino,uy URU,DF,Cádiz,30,1992,34.7,7,0,0,49,36,3,110,43,54,,,0,la_liga,2022-2023
165,Bernardo Espinosa,co COL,DF,Girona,33,1989,13.6,5,0,0,12,10,0,0,14,3,,,0,la_liga,2022-2023
166,Edu Expósito,es ESP,MF,Espanyol,25,1996,12.9,3,1,0,14,29,0,48,12,21,,,0,la_liga,2022-2023
167,Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,22,2000,5.7,2,0,0,11,8,3,32,4,13,,,1,la_liga,2022-2023
168,Abde Ezzalzouli,ma MAR,"FW,MF",Osasuna,20,2001,16.7,4,2,1,27,34,2,76,4,21,,,0,la_liga,2022-2023
169,Radamel Falcao,co COL,FW,Rayo Vallecano,36,1986,6.8,4,0,0,15,14,12,0,2,4,,,0,la_liga,2022-2023
170,Fali,es ESP,"DF,MF",Cádiz,28,1993,19.0,6,0,0,16,18,1,2,13,20,,,0,la_liga,2022-2023
171,Mamadou Fall,sn SEN,DF,Villarreal,19,2002,0.3,0,0,0,1,0,0,1,0,0,,,0,la_liga,2022-2023
172,Ansu Fati,es ESP,FW,Barcelona,19,2002,15.5,3,0,0,18,13,10,10,5,9,,,0,la_liga,2022-2023
173,Zouhair Feddal,ma MAR,DF,Valladolid,33,1989,4.2,1,0,0,4,2,0,1,6,3,,,0,la_liga,2022-2023
174,Nabil Fekir,fr FRA,MF,Real Betis,29,1993,10.7,4,1,0,20,36,7,46,1,5,,,0,la_liga,2022-2023
175,Felipe,br BRA,DF,Atlético Madrid,33,1989,2.2,0,0,0,4,3,0,0,0,2,,,0,la_liga,2022-2023
176,Luiz Felipe,it ITA,DF,Real Betis,25,1997,19.6,3,3,0,10,10,0,2,27,23,,,0,la_liga,2022-2023
177,João Félix,pt POR,"FW,MF",Atlético Madrid,22,1999,7.2,5,0,0,16,23,3,8,4,7,,,0,la_liga,2022-2023
178,Kiko Femenía,es ESP,DF,Villarreal,31,1991,12.6,0,0,0,6,8,0,31,21,11,,,0,la_liga,2022-2023
179,Aitor Fernández,es ESP,GK,Osasuna,31,1991,21.0,1,0,0,0,0,0,0,2,1,,,0,la_liga,2022-2023
180,Álex Fernández,es ESP,"MF,FW",Cádiz,29,1992,17.5,0,0,0,7,14,0,36,8,8,,,0,la_liga,2022-2023
181,Álvaro Fernández,es ESP,GK,Espanyol,24,1998,11.0,1,0,0,0,3,0,0,0,0,,,0,la_liga,2022-2023
182,Carlos Fernández,es ESP,FW,Real Sociedad,26,1996,7.0,6,0,0,17,15,9,0,1,4,,,0,la_liga,2022-2023
183,Federico Fernández,ar ARG,DF,Elche,33,1989,1.0,0,0,0,0,0,0,0,2,1,,,0,la_liga,2022-2023
184,Joaquín Fernández,es ESP,DF,Valladolid,26,1996,24.0,4,0,0,16,11,3,1,28,28,,,1,la_liga,2022-2023
185,Valery Fernández,es ESP,"MF,DF",Girona,22,1999,10.7,1,0,0,6,16,4,23,10,6,,,0,la_liga,2022-2023
186,Fernando,es ESP,GK,Almería,32,1990,36.5,3,0,0,0,5,0,0,1,0,,,0,la_liga,2022-2023
187,Fernando,br BRA,"MF,DF",Sevilla,35,1987,17.5,3,1,0,17,9,0,2,24,21,,,1,la_liga,2022-2023
188,Fidel,es ESP,"MF,FW",Elche,32,1989,19.0,5,0,0,11,19,9,58,6,9,,,0,la_liga,2022-2023
189,Dimitri Foulquier,fr FRA,DF,Valencia,29,1993,19.3,4,0,0,28,14,1,86,14,19,,,0,la_liga,2022-2023
190,Juan Foyth,ar ARG,DF,Villarreal,24,1998,21.8,6,0,0,40,9,0,10,19,46,,,0,la_liga,2022-2023
191,Iván Fresneda,es ESP,"DF,MF",Valladolid,17,2004,19.4,3,0,0,13,25,0,59,14,35,,,0,la_liga,2022-2023
192,Javi Galán,es ESP,DF,Celta Vigo,27,1994,35.1,6,0,0,50,73,8,162,37,73,,,0,la_liga,2022-2023
193,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,28,1993,27.2,12,0,0,60,45,0,53,27,35,,,0,la_liga,2022-2023
194,Aleix García,es ESP,MF,Girona,25,1997,26.0,1,0,0,13,30,1,180,30,20,,,0,la_liga,2022-2023
