Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
169,Adam Hložek,cz CZE,"FW,MF",Hoffenheim,22,2002,20.8,2,0,0,16,30,6,20,4,11,,,0,bundesliga,2024-2025
170,Nicolas Höfler,de GER,MF,Freiburg,34,1990,8.8,3,0,0,12,5,0,1,14,22,,,0,bundesliga,2024-2025
171,Jonas Hofmann,de GER,MF,Leverkusen,32,1992,4.0,1,0,0,1,9,0,5,0,0,,,0,bundesliga,2024-2025
172,Philipp Hofmann,de GER,FW,Bochum,31,1993,25.3,4,0,0,36,31,4,10,5,12,,,0,bundesliga,2024-2025
173,Lucas Höler,de GER,"FW,MF",Freiburg,30,1994,20.7,3,0,0,31,30,8,14,6,24,,,0,bundesliga,2024-2025
174,Benedict Hollerbach,de GER,"FW,MF",Union Berlin,23,2001,28.2,3,0,0,43,45,17,73,3,20,,,0,bundesliga,2024-2025
175,Lewis Holtby,de GER,MF,Holstein Kiel,33,1990,13.8,1,1,0,13,23,0,46,19,19,,,0,bundesliga,2024-2025
176,Gerrit Holtmann,ph PHI,"MF,DF",Bochum,29,1995,12.6,2,0,0,26,7,4,90,16,18,,,0,bundesliga,2024-2025
177,Franck Honorat,fr FRA,MF,Gladbach,27,1996,16.0,0,0,0,7,5,8,123,5,6,,,0,bundesliga,2024-2025
178,Mathias Honsak,at AUT,"MF,FW",Heidenheim,27,1996,13.1,1,0,0,14,13,2,47,9,9,,,0,bundesliga,2024-2025
179,Timo Horn,de GER,GK,Bochum,31,1993,13.0,2,0,0,0,2,0,0,0,0,,,0,bundesliga,2024-2025
180,Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,29.0,1,0,0,0,2,0,0,0,0,,,0,bundesliga,2024-2025
181,Robin Hranáč,cz CZE,DF,Hoffenheim,24,2000,2.4,0,0,0,5,0,0,0,5,0,,,0,bundesliga,2024-2025
182,Hong Hyunseok,kr KOR,MF,Mainz 05,25,1999,5.9,0,0,0,3,8,1,4,7,3,,,0,bundesliga,2024-2025
183,Oscar Højlund,dk DEN,MF,Eintracht Frankfurt,19,2005,8.0,0,0,0,12,3,0,1,5,12,,,0,bundesliga,2024-2025
184,Arijon Ibrahimović,de GER,MF,Bayern Munich,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2024-2025
185,Andrej Ilic,rs SRB,FW,Union Berlin,24,2000,10.4,1,0,0,14,8,8,3,3,2,,,0,bundesliga,2024-2025
186,Jackson Irvine,au AUS,MF,St Pauli,31,1993,29.0,2,0,0,38,16,2,17,35,29,,,0,bundesliga,2024-2025
187,Ko Itakura,jp JPN,DF,Gladbach,27,1997,31.0,5,0,0,28,12,1,8,28,29,,,0,bundesliga,2024-2025
